Week,august
2018-09-02,17
2018-09-09,10
2018-09-16,10
2018-09-23,9
2018-09-30,8
2018-10-07,7
2018-10-14,6
2018-10-21,7
2018-10-28,7
2018-11-04,7
2018-11-11,7
2018-11-18,7
2018-11-25,6
2018-12-02,6
2018-12-09,6
2018-12-16,6
2018-12-23,6
2018-12-30,7
2019-01-06,7
2019-01-13,6
2019-01-20,7
2019-01-27,7
2019-02-03,7
2019-02-10,7
2019-02-17,8
2019-02-24,7
2019-03-03,7
2019-03-10,7
2019-03-17,15
2019-03-24,7
2019-03-31,8
2019-04-07,7
2019-04-14,7
2019-04-21,7
2019-04-28,8
2019-05-05,8
2019-05-12,8
2019-05-19,9
2019-05-26,10
2019-06-02,10
2019-06-09,11
2019-06-16,12
2019-06-23,13
2019-06-30,15
2019-07-07,18
2019-07-14,22
2019-07-21,30
2019-07-28,67
2019-08-04,91
2019-08-11,91
2019-08-18,71
2019-08-25,60
2019-09-01,19
2019-09-08,11
2019-09-15,10
2019-09-22,8
2019-09-29,8
2019-10-06,6
2019-10-13,7
2019-10-20,6
2019-10-27,6
2019-11-03,6
2019-11-10,6
2019-11-17,6
2019-11-24,6
2019-12-01,5
2019-12-08,5
2019-12-15,6
2019-12-22,6
2019-12-29,6
2020-01-05,6
2020-01-12,7
2020-01-19,7
2020-01-26,6
2020-02-02,6
2020-02-09,6
2020-02-16,6
2020-02-23,6
2020-03-01,6
2020-03-08,6
2020-03-15,5
2020-03-22,6
2020-03-29,7
2020-04-05,6
2020-04-12,6
2020-04-19,6
2020-04-26,6
2020-05-03,7
2020-05-10,7
2020-05-17,7
2020-05-24,7
2020-05-31,7
2020-06-07,8
2020-06-14,8
2020-06-21,10
2020-06-28,18
2020-07-05,24
2020-07-12,30
2020-07-19,26
2020-07-26,45
2020-08-02,78
2020-08-09,80
2020-08-16,59
2020-08-23,55
2020-08-30,27
2020-09-06,12
2020-09-13,9
2020-09-20,8
2020-09-27,7
2020-10-04,7
2020-10-11,6
2020-10-18,6
2020-10-25,6
2020-11-01,5
2020-11-08,5
2020-11-15,6
2020-11-22,5
2020-11-29,5
2020-12-06,5
2020-12-13,5
2020-12-20,5
2020-12-27,5
2021-01-03,5
2021-01-10,6
2021-01-17,7
2021-01-24,7
2021-01-31,7
2021-02-07,6
2021-02-14,6
2021-02-21,6
2021-02-28,6
2021-03-07,6
2021-03-14,6
2021-03-21,6
2021-03-28,6
2021-04-04,6
2021-04-11,6
2021-04-18,6
2021-04-25,6
2021-05-02,6
2021-05-09,7
2021-05-16,7
2021-05-23,7
2021-05-30,8
2021-06-06,9
2021-06-13,8
2021-06-20,9
2021-06-27,10
2021-07-04,13
2021-07-11,16
2021-07-18,21
2021-07-25,35
2021-08-01,74
2021-08-08,73
2021-08-15,68
2021-08-22,53
2021-08-29,31
2021-09-05,12
2021-09-12,9
2021-09-19,8
2021-09-26,7
2021-10-03,7
2021-10-10,6
2021-10-17,6
2021-10-24,6
2021-10-31,6
2021-11-07,6
2021-11-14,6
2021-11-21,6
2021-11-28,5
2021-12-05,5
2021-12-12,5
2021-12-19,5
2021-12-26,6
2022-01-02,6
2022-01-09,7
2022-01-16,7
2022-01-23,7
2022-01-30,10
2022-02-06,7
2022-02-13,7
2022-02-20,7
2022-02-27,6
2022-03-06,6
2022-03-13,7
2022-03-20,7
2022-03-27,15
2022-04-03,9
2022-04-10,8
2022-04-17,8
2022-04-24,8
2022-05-01,8
2022-05-08,8
2022-05-15,8
2022-05-22,8
2022-05-29,9
2022-06-05,10
2022-06-12,11
2022-06-19,12
2022-06-26,13
2022-07-03,15
2022-07-10,20
2022-07-17,25
2022-07-24,38
2022-07-31,84
2022-08-07,100
2022-08-14,84
2022-08-21,65
2022-08-28,41
2022-09-04,14
2022-09-11,10
2022-09-18,9
2022-09-25,8
2022-10-02,8
2022-10-09,7
2022-10-16,6
2022-10-23,6
2022-10-30,6
2022-11-06,6
2022-11-13,6
2022-11-20,8
2022-11-27,6
2022-12-04,6
2022-12-11,6
2022-12-18,6
2022-12-25,6
2023-01-01,7
2023-01-08,7
2023-01-15,6
2023-01-22,7
2023-01-29,7
2023-02-05,6
2023-02-12,6
2023-02-19,6
2023-02-26,6
2023-03-05,9
2023-03-12,7
2023-03-19,12
2023-03-26,7
2023-04-02,7
2023-04-09,7
2023-04-16,7
2023-04-23,8
2023-04-30,8
2023-05-07,8
2023-05-14,8
2023-05-21,8
2023-05-28,10
2023-06-04,10
2023-06-11,11
2023-06-18,12
2023-06-25,13
2023-07-02,16
2023-07-09,19
2023-07-16,24
2023-07-23,35
2023-07-30,80
2023-08-06,83
2023-08-13,82
2023-08-20,57
2023-08-27,59
