averageRating,numVotes,startYear,genres
5.7,1990,1894,"Documentary,Short"
6.5,1867,1892,"Animation,Comedy,Romance"
6.2,2653,1893,"Comedy,Short"
5.4,829,1894,"Short,Sport"
5.4,2131,1894,"Documentary,Short"
6.9,7262,1895,"Documentary,Short"
7.4,12404,1896,"Documentary,Short"
5.7,1899,1895,"Documentary,Short"
7.1,5580,1895,"Comedy,Short"
6.2,1105,1894,"Animation,Short"
5.9,1522,1895,"Documentary,Short"
5.3,604,1895,Short
5.1,1105,1895,"Documentary,Short"
5.7,1448,1895,"Documentary,Short"
5.6,1554,1896,"Documentary,Short"
5.6,1167,1895,"Documentary,Short"
5.1,1094,1895,"Documentary,Short"
5.9,3395,1895,"Documentary,Short"
5.2,858,1895,"Documentary,Short"
5.5,1012,1895,"Documentary,Short"
5.5,1038,1895,"Comedy,Documentary,Short"
4.4,610,1896,"Drama,Short"
6.7,1896,1897,"Comedy,Documentary,Short"
6.4,2679,1896,"Documentary,Short"
6.3,1953,1896,"Horror,Short"
4.4,540,1896,"Drama,Short"
6.2,1010,1897,"Documentary,Short"
6.7,3739,1896,"Horror,Short"
4.4,550,1896,"Drama,Short"
4.5,530,1896,"Fantasy,Short"
4.4,536,1896,"Fantasy,Short"
4.4,552,1896,"Drama,Short"
4.5,529,1896,"Fantasy,Short"
4.3,558,1896,"Drama,Short"
5.8,1440,1896,"Comedy,Horror,Short"
5.0,1086,1896,"Biography,Short"
6.4,1160,1897,"Comedy,Horror,Short"
6.1,977,1897,"Comedy,Horror,Short"
4.9,563,1898,"Fantasy,Short"
5.7,577,1898,Short
7.4,4484,1898,"News,Short"
5.9,671,1898,"Comedy,Short,Sport"
6.5,1714,1898,Short
6.3,899,1898,"Documentary,Short"
6.4,1248,1899,"Biography,Drama,Short"
6.4,1055,1901,"Romance,Short"
6.1,1628,1899,"Comedy,Short"
5.6,868,1896,"Documentary,Short"
5.5,650,1899,"Comedy,Short"
6.9,1343,1899,"Drama,Short"
6.0,1288,1899,"Documentary,Short"
6.1,924,1899,"Comedy,Short"
5.8,808,1899,"Documentary,Short"
5.7,750,1900,Short
6.2,752,1900,Short
6.2,745,1900,"Comedy,Short"
7.1,3036,1900,"Action,Crime,Drama"
5.6,544,1900,Short
6.1,770,1900,"Comedy,Short"
6.7,1051,1900,Short
5.4,771,1900,"Documentary,Short"
8.2,53309,1900,Short
6.2,2779,1900,Short
5.9,710,1900,Short
6.1,531,1900,Short
7.3,20278,1900,"Comedy,Short"
6.4,2590,1900,Short
6.5,981,1900,"Comedy,Short"
6.8,1891,1900,Short
7.3,1702,1899,"Horror,Short"
5.8,1106,1900,Short
5.2,514,1900,"Fantasy,Short"
6.9,531,1900,Short
6.9,839,1900,Short
6.6,1271,1900,"Documentary,Short"
7.5,3820,1900,Short
6.6,1072,1900,"Comedy,Short"
5.8,780,1901,"Comedy,Short"
6.7,1228,1901,Short
6.7,1929,1901,"Action,Drama,Short"
6.3,1392,1901,"Comedy,Fantasy,Short"
6.2,626,1901,"Fantasy,Romance,Short"
6.8,1283,1901,"Documentary,Short"
6.0,845,1901,Short
5.7,531,1901,"Fantasy,Short"
4.7,730,1901,Short
6.5,1143,1902,"Music,Short"
6.5,602,1903,"Fantasy,Short"
5.7,881,1902,"Comedy,Short"
5.5,750,1902,"Fantasy,Short"
6.9,2689,1903,Short
5.7,818,1903,"Comedy,Family,Short"
6.6,2635,1904,"Comedy,Short"
6.4,716,1908,"Animation,Fantasy,Sci-Fi"
5.9,529,1905,"Comedy,Short"
6.1,1031,1907,"Drama,Short"
6.5,982,1907,"Comedy,Short"
6.0,926,1908,"Comedy,Short"
6.2,1251,1907,Short
6.4,979,1908,"Documentary,Short"
6.4,4521,1908,"Drama,Short"
5.9,560,1908,"Action,Short"
6.4,547,1910,"Drama,Short"
6.3,828,1909,"Drama,Short"
5.7,1596,1909,Short
6.3,521,1909,"Documentary,Short"
7.7,3096,1909,"Crime,Drama,Short"
5.1,638,1909,"Comedy,Short"
7.1,1782,1909,"Drama,Short"
6.5,1273,1909,"Drama,Mystery,Short"
5.1,567,1909,"Comedy,Short"
6.8,1120,1909,"Action,Drama,History"
7.0,3212,1909,"Drama,Short"
6.0,729,1909,"Comedy,Romance,Short"
5.8,621,1909,"Drama,Short"
6.8,1258,1909,"Drama,Short"
6.3,1291,1909,"Drama,Short"
6.6,2399,1909,"Drama,Short"
6.3,904,1909,Short
5.9,625,1909,"Drama,Short"
6.6,961,1909,"Drama,Short"
6.5,927,1910,"Drama,Short"
5.3,818,1910,"Short,Western"
6.1,594,1910,"Drama,Short"
6.9,2410,1910,"Comedy,Short"
